﻿BuffName_DLC一击必杀,Instant death,เสียชีวิตทันที
BuffName_DLC反弹伤害,Damage Reflect,สะท้อนความเสียหาย
BuffName_DLC乘胜追击,Continuous assault,จู่โจมต่อเนื่อง
BuffName_DLC独具慧眼,Insightful Eye,มองทะลุปรุโปร่ง
BuffName_DLC身如鬼魅,Rapid response,ตอบสนองรวดเร็ว
BuffName_DLC借势而行,Follower's Path,เส้นทางของผู้ติดตาม
BuffName_DLC印记增幅,Mark Increase Roll,เพิ่มความแม่นยำ
BuffName_DLC印记反制,Mark Counter,สะท้อนเป้าหมาย
BuffName_DLC免疫屏障,Immune Barrier,ต้านทานเกราะคุ้มกัน
BuffName_DLC绝处逢生,Survival in Despair,ผู้อยู่รอดในความสิ้นหวัง
BuffName_DLC御兽之能,Beast Taming Ability,ความสามารถการฝึกสัตว์
BuffName_DLC御兽之术,Beast Taming Technique,ทักษะการฝึกสัตว์
BuffName_DLC免疫背击,Immune to Back attack,การโจมตีด้านหลังไร้ผล
BuffName_DLC免疫侧击,Immune to Side attack,การโจมตีด้านข้างไร้ผล
BuffName_DLC免疫控制,Immune to Control,ต้านทานการถูกควบคุม
BuffName_DLC铜墙铁壁,Wall of steel,กำแพงเหล็กกล้า
BuffName_DLC御剑增伤,Sword Increases Damage,เพิ่มความเสียหายกระบี่
BuffName_DLC神失梦迷,Lost in Dreams,หายไปในความฝัน
BuffName_DLC融金藏锋,Melting Gold and Hiding Blade,ซ่อนดาบละลายทอง
BuffName_DLC致命伤害,Critical Damage,ความเสียหายคริติคอล
BuffName_DLC斩敌追击,Enemy Chasing,ตามล่าศัตรู
BuffName_DLC追风掣电,Windwalker,ล่องเวหา
BuffName_DLC坚守之心,Defender's Heart,ใจพิทักษ์
BuffName_DLC逆境求生,Survival in Adversity,รอดเฉียดตาย
BuffName_DLC致命暴击,Critical Critical,โจมตีถึงฆาต
BuffName_DLC百炼成钢,Spirit of Steel,จิตวิญญาณเหล็กกล้า
BuffName_DLC协同守护,Cooperative Defense,ร่วมใจพิทักษ์
BuffName_DLC协同守护_光环,Cooperative Defense,ร่วมใจพิทักษ์
BuffName_DLC威震一方,Preeminent,แข็งแกร่ง
BuffName_DLC威震一方_光环,Preeminent,แข็งแกร่ง
BuffName_DLC武功扰乱,Martial Arts Disruption,ต้านวรยุทธ
BuffName_DLC武功扰乱_光环,Martial Arts Disruption,ต้านวรยุทธ
BuffName_DLC辣手无情,Ruthless Hand,หัตถ์ไร้ปรานี
BuffName_DLC身轻如羽,Light as a Feather,เบาดั่งขนนก
BuffName_DLC清心寡欲,Clear Mind and Few Desires,ไร้ปรารถนา
BuffName_DLC运筹帷幄,Tactical Strategist,วางกลยุทธ์
BuffName_DLC伤敌恢复,Enemy Recovery,ศัตรูฟื้นฟู
BuffName_DLC内力节流,MP Conservation,กักเก็บ MP
BuffName_DLC气场扰乱,Aura Disruption,สลายพลังงาน
BuffName_DLC气场扰乱_光环,Aura Disruption,สลายพลังงาน
BuffName_DLC箫音暴击,Flute Critical,ขลุ่ยโจมตี
