﻿StoryGroup_死亡结局,Death ending.,สิ้นสุดความตาย
StoryGroup_主线,Main storyline.,โครงเรื่องหลัก
StoryGroup_伙伴的故事,Companion's story.,เรื่องราวของสหาย
StoryGroup_楚襄城的故事,Story of Chuxiang City.,เรื่องราวของเมืองฉู่เซียง
StoryGroup_十字坡的故事,Story of Cross Hill.
StoryGroup_无名小村的故事,Story of Nameless village.,เรื่องราวของหมู่บ้านไร้นาม
StoryGroup_迷踪林的故事,Story of Lost Forest.,เรื่องราวของป่าสาปสูญ
StoryGroup_霖安城的故事,Story of Lin'an City.,เรื่องราวของเมืองหลินอัน
StoryGroup_燕云铁军的故事,Story of Yan Yun Iron Army.,เรื่องราวของหยานยุน เทียจุน
StoryGroup_宠物,Pets.,สัตว์เลี้ยง
StoryGroup_破庙的故事,Story of Ruined shrine.,เรื่องราวของศาลเจ้าร้าง
StoryGroup_青风寨的故事,Story of Blue Wind Camp.,เรื่องราวของค่ายวายุคราม
StoryGroup_藏宝图,Treasure map,แผนที่สมบัติ
StoryGroup_大梁城的故事,Story of Daliang City.,เรื่องราวของเมืองต้าเหลียง
StoryGroup_状态事件,Status events.,เหตุการณ์สถานะ
StoryGroup_大地图事件,World map events.,เหตุการณ์แผนที่โลก
StoryGroup_琳琅馆的故事,Story of Linlang Temple.,เรื่องราวของวัดหลินหลาง
StoryGroup_无名山洞的故事,Story of Nameless cave.,เรื่องราวของถ้ำไร้นาม
StoryGroup_节日庆典,Holiday celebrations.,การเฉลิมฉลองวันหยุด
StoryGroup_野狼谷的故事,Story of Wild Wolf Valley.,เรื่องราวของหุบเขาหมาป่า
StoryGroup_论道峰的故事,Story of Peak of Challenge.,เรื่องราวของเต้าเฟิง
StoryGroup_夜摩坊的故事,Story of Night Demon Square.,เรื่องราวของจัตุรัสปีศาจราตรี
StoryGroup_将军府的差事,Tasks of General's mansion.,ภารกิจในจวนแม่ทัพ
StoryGroup_行辕大营的故事,Story of Palace Camp.,เรื่องราวของค่ายซิงหยวน
StoryGroup_楚襄城悬赏,Bounty of Chuxiang City.,ค่าหัวเมืองฉู่เซียง
StoryGroup_大梁城悬赏,Bounty of Daliang City.,ค่าหัวของเมืองต้าเหลียง
StoryGroup_霖安城悬赏,Bounty of Lin'an City.,ค่าหัวของเมืองหลินอัน
StoryGroup_飞瀑峰的故事,Story of Feipu Peak.,เรื่องราวของยอดเขาเฟยผู่
StoryGroup_大王寨的故事,Story of Bandit Camp.,เรื่องราวของค่ายโจร
StoryGroup_月老祠的故事,Story of God of Marriage's Shrine.,เรื่องราวของศาลเจ้าเทพเจ้าแห่งการแต่งงาน
StoryGroup_释法寺的故事,Story of Shifa Temple.,เรื่องราวของวัดชี่ฟา
StoryGroup_浮屠寺的故事,Story of Buddha Temple.,เรื่องราวของวัดพุทธ
StoryGroup_叶家军的故事,Story of Ye Family Battalion.,เรื่องราวของกองพันตระกูลเย่
StoryGroup_新增无记录任务,New task without record.,งานใหม่โดยไม่มีการบันทึก
StoryGroup_客栈事件,Inn events.,เหตุการณ์ในโรงเตี๊ยม
